אָב|<a>v|father
לְהִיקָּטֵעַ|lehikat<e>a|to be cut off; to be interrupted
קֶטַע|k<e>ta|section, segment; part
לִקְטוֹף|likt<o>f|to pluck, to pick (fruit, flowers)
לְהִיקָּטֵף|lehikat<e>f|to be harvested
קְטִיפָה|ktif<a>|velvet
לְקַטֵּר|lekat<e>r|to burn incense; to complain (slang)
קַטָּר|kat<a>r|locomotive
קִיטוֹר|kit<o>r|steam; smoke, column of smoke
לְהַקְטִיר|lehakt<i>r|to burn incense
לְהָקִיא|lehak<i>|to vomit
לְקַייֵּם|lekay<e>m|to fulfil, to make true; to maintain
לְהִתְקַייֵּם|lehitkay<e>m|to exist, to take place, to be carried out, to be true
קִיּוּם|kiy<u>m|existence; implementation, fulfilment; preservation, maintenance; confirmation, approval
קַייָּם|kay<a>m|existing; to exist (when used as a verb)
קִינָמוֹן|kinam<o>n|cinnamon
לְהָקִיץ|lehak<i>tz|to awaken, to wake up
קַיִץ|k<a>yitz|summer
קִיר|k<i>r|wall
לְהַקְלִיד|lehakl<i>d|to type (on a keyboard)
הַקְלָדָה|haklad<a>|typing (on a keyboard)
מִקְלֶדֶת|mikl<e>det|keyboard
לְהִתְקַלֵּחַ|lehitkal<e>ach|to take a shower
לִקְלוֹחַ|likl<o>ach|to flow, to stream
מִקְלַחַת|mikl<a>chat|shower
לְהַקְלִיט|lehakl<i>t|to tape, to record
לְהִיקָּלֵט|lehikal<e>t|to be received, to adapt; to be understood
מִקְלָט|mikl<a>t|shelter, refuge
הַקְלָטָה|haklat<a>|recording (on a disk, tape)
הִיקָּלְטוּת|hikalt<u>t|absorption, assimilation
קַלֶּטֶת|kal<e>tet|cassette
מַקְלֵט|makl<e>t|receiver (radio, TV)
תַּקְלִיט|takl<i>t|record, album, disk (music)
לִקְלוֹט|likl<o>t|to absorb, to collect; to comprehend, to understand
לִקְלוֹת|likl<o>t|to toast, to roast
לְהִיקָּלוֹת|lehikal<o>t|to be toasted, roasted
קָלוֹן|kal<o>n|disgrace, shame
קַלּוּת|kal<u>t|ease, easiness
לְקַלֵּל|lekal<e>l|to damn, to curse
לְהָקֵל|lehak<e>l|to ease, to alleviate
קְלָלָה|klal<a>|curse
קַל|k<a>l|light, lightweight; easy, simple
לְהִיקָּלֵעַ|lehikal<e>a|to be shot (of an arrow, bullet), to be thrown; to be woven, braided
קֶלַע|k<e>la|slingshot; sling; behind-the-scene, wings in theatre (in plural)
קָלָע|kal<a>|marksman, slinger
מַקְלֵעַ|makl<e>a|machine gun
קָלִיעַ|kal<i>a|bullet
לִקְלוֹעַ|likl<o>a|to shoot; to hit the target; to weave, to braid
לְקַלֵּף|lekal<e>f|to scrape off (paint), to peel
לִקְלוֹף|likl<o>f|to skin, to scrape off (paint), to peel
לְהִתְקַלֵּף|lehitkal<e>f|to peel (of skin, paint etc.), to exfoliate
לְהַקְלִיק|lehakl<i>k|to click (computer jargon)
לְקַלְקֵל|lekalk<e>l|to damage, to spoil
לְהִתְקַלְקֵל|lehitkalk<e>l|to be damaged, to be spoiled (of food products)
קִלְשׁוֹן|kilsh<o>n|pitchfork
קֶמַח|k<e>mach|flour
לְקַמֵּט|lekam<e>t|to rumple, to wrinkle something
לְהִתְקַמֵּט|lehitkam<e>t|to become wrinkled
לְהִיקָּמֵל|lehikam<e>l|to wither, to fade
לְקַמֵּץ|lekam<e>tz|to economise, to lower expenditures
קַמְצָן|kamtz<a>n|miserly, miser
קוֹמֶץ|k<o>metz|handful
לִקְמוֹץ|likm<o>tz|to pinch; to clench (fists), to shut (lips)
לְהִתְקַמֵּץ|lehitkam<e>tz|to be stingy, miserly (coll.)
לְהִתְקַמְצֵן|lehitkamtz<e>n|to be stingy, miserly (coll.)
קְמִירָה|kmir<a>|convexity (mathematics)
קָמוּר|kam<u>r|convex
לְקַמֵּר|lekam<e>r|to bend, to curve
קֶמֶר|k<e>mer|arch, curve
קִנְאָה|kin'<a>|envy, jealousy
קַנָּא|kan<a>|jealous, zealous (as an epithet of God)
קַנַּאי|kan<a>y|jealous, envious; fanatical
קַנָּאוּת|kana'<u>t|zealousness, fanaticism
לְקַנֵּא|lekan<e>|to envy, to be jealous of (ב-)
לְהִתְקַנֵּא|lehitkan<e>|to envy, to be jealous of (ב-)
לְקַנֵּחַ|lekan<e>ach|to wipe, to dry; to eat for dessert
לְהַקְנִיט|lehakn<i>t|to tease, to mock
הַקְנָטָה|haknat<a>|teasing, mocking
לְקַנְטֵר|lekant<e>r|to tease, to vex
לִקְנוֹת|likn<o>t|to buy, to purchase
לְהִיקָּנוֹת|lehikan<o>t|to be bought, purchased
לְהַקְנוֹת|lehakn<o>t|to imbue (with something), to provide
קְנִיָּה|kniy<a>|purchase, acquisition
קָנוּי|kan<u>y|bought, purchased
לְקַנֵּן|lekan<e>n|to nest
לִקְנוֹס|likn<o>s|to fine
לְהִיקָּנֵס|lehikan<e>s|to be fined
לִקְסוֹם|liks<o>m|to enchant, to captivate
לְהַקְסִים|lehaks<i>m|to enchant, to charm
קֶסֶם|k<e>sem|sorcery, magic
לְקַעְקֵעַ|leka'ak<e>a|to tattoo; to undermine, to ruin
קָעוּר|ka'<u>r|concave
קְעִירָה|ke'ir<a>|concavity (mathematics)
קְעָרָה|ke'ar<a>|bowl, dish
לְהִיקָּפֵא|lehikaf<e>|to freeze over (rare)
לְהַקְפִּיא|lehakp<i>|to freeze (something)
הַקְפָּאָה|hakpa'<a>|freezing
קִיפָּאוֹן|kipa'<o>n|freezing; standstill, stagnation
לִקְפּוֹא|likp<o>|to ice over, to freeze, to be frostbitten
לְקַפֵּד|lekap<e>d|to trim, to cut off, to cut short
לְהַקְפִּיד|lehakp<i>d|to be pedantic, to be strict regarding something
קָפֶה|kaf<e>|coffee
מְקוּפָּח|mekup<a>ch|deprived; disadvantaged
לְקַפֵּחַ|lekap<e>ach|to discriminate against, to deprive
לִקְפּוֹחַ|likp<o>ach|to burn, to strike down (of sun)
לְקַפּוֹת|lekap<o>t|to skim, to scum, to remove froth from something
לְקַפֵּל|lekap<e>l|to fold, to collapse, to close (e.g. umbrella)
לְהִתְקַפֵּל|lehitkap<e>l|to be folded, to fold up
קִיפּוּל|kip<u>l|folding; fold; winding up, closing
לְהַקְפִּיץ|lehakp<i>tz|to make bounce, to make jump
קְפִיץ|kf<i>tz|coil, spring
לִקְפּוֹץ|likp<o>tz|to jump, to bounce; to appear suddenly
לְקַפֵּץ|lekap<e>tz|to jump, to hop, to skip
לְהַקְצִיב|lehaktz<i>v|to allocate, to allot
קֶצֶב|k<e>tzev|rhythm; pace, speed
קַצָּב|katz<a>v|butcher
קִצְבָּה|kitzb<a>|allowance, subsidy
תַּקְצִיב|taktz<i>v|budget, allocation
קָצוּב|katz<u>v|limited, defined; rhythmic, repetitive
קְצוּבָּה|ktzub<a>|allowance, ration
לִקְצוֹב|liktz<o>v|to allocate, to allot, to budget
קִצְבָּה|kitzb<a>|allowance, stipend
לְהַקְצוֹת|lehaktz<o>t|to allocate, to set aside
לְהַקְצִין|lehaktz<i>n|to radicalise, to become extreme
קָצִין|katz<i>n|officer (military)
מִקְצוֹעִי|miktzo'<i>|professional
לְהַקְצִיעַ|lehaktz<i>a|to polish (literally and figuratively), to plane wood
מִקְצוֹעַ|miktz<o>a|profession; edge (geometry)
קַצֶּפֶת|katz<e>fet|whipped cream
קֶצֶף|k<e>tzef|fury, wrath (lit.)
לִקְצוֹף|liktz<o>f|to be angry, furious (lit.) (על)
קֶצֶף|k<e>tzef|froth, foam
לְהַקְצִיף|lehaktz<i>f|to foam (of sea), to whip (cream, etc.); to enrage, to infuriate
לְקַצֵּץ|lekatz<e>tz|to cut off, to clip, to trim; to reduce
לִקְצוֹץ|liktz<o>tz|to chop, to dice (vegetables, fruit)
קָצִיר|katz<i>r|harvest
לִקְצוֹר|liktz<o>r|to harvest, to reap
לְהִיקָּצֵר|lehikatz<e>r|to be reaped (of crop)
לְקַצֵּר|lekatz<e>r|to shorten
לְהִתְקַצֵּר|lehitkatz<e>r|to become shorter
קָצָר|katz<a>r|short, brief
קֶצֶר|k<e>tzer|short-circuit
קַצֶּרֶת|katz<e>ret|asthma
קִיצּוּר|kitz<u>r|abbreviation, shortening
לִקְרוֹא|likr<o>|to read (ב-, את); to call (ל-)
לְהִיקָּרֵא|lehikar<e>|to be named, to be called; to be nicknamed; to be read
לְהַקְרִיא|lehakr<i>|to read aloud
קְרִיאָה|kri'<a>|call, exclamation; reading
לִקְרוֹב|likr<o>v|to approach, to draw near
לְקָרֵב|lekar<e>v|to bring closer
לְהִתְקָרֵב|lehitkar<e>v|to approach, to come near
לְהַקְרִיב|lehakr<i>v|to offer up a sacrifice; to sacrifice
הַקְרָבָה|hakrav<a>|sacrifice, act of sacrificing
קִרְבָה|kirv<a>|proximity; kinship; similarity; relationship, connection
קָרוֹב|kar<o>v|close, near
תַּקְרִיב|takr<i>v|close-up photo
קוֹרְבָּן|korb<a>n|victim, sacrifice
לְהַקְרִיחַ|lehakr<i>ach|to become bald
קֶרַח|k<e>rach|ice
קֵירֵחַ|ker<e>ach|bald
קָרַחַת|kar<a>chat|bald spot; glade, opening
לְהִיקָּרוֹת|lehikar<o>t|to happen upon, to encounter
לִקְרוֹת|likr<o>t|to happen, to occur
לְקָרוֹת|lekar<o>t|to cover with roof, to roof
מִקְרֶה|mikr<e>|case, occasion
קִרְיָה|kiry<a>|town, small city
תַּקְרִית|takr<i>t|incident
תִּקְרָה|tikr<a>|ceiling; maximum
לְהַקְרִים|lehakr<i>m|to bake until crusted; to crust
לְהִיקָּרֵם|lehikar<e>m|to get covered by a crust
לִקְרוֹם|likr<o>m|to get crusted; to heal (of a wound)
לִקְרוֹן|likr<o>n|to shine, to beam; to radiate
לְהַקְרִין|lehakr<i>n|to radiate; to project on a screen
הַקְרָנָה|hakran<a>|irradiation, radiation; projecting on a screen
קֶרֶן|k<e>ren|fund (finance), foundation
קֶרֶן|k<e>ren|horn (anatomy); ray, beam
קְרִינָה|krin<a>|radiation
לִקְרוֹס|likr<o>s|to collapse, to fall
לִקְרוֹעַ|likr<o>a|to tear, to rip
לְהִיקָּרֵעַ|lehikar<e>a|to be torn
קָרוּעַ|kar<u>a|torn, ripped
לִקְרוֹץ|likr<o>tz|to wink; to mould, to shape
לְקַרְצֵף|lekartz<e>f|to scrub, to clean
לְקַרְקֵעַ|lekark<e>a|to ground (an airplane)
קַרְקַע|kark<a>|land, ground, soil
קַרְקֶפֶת|kark<e>fet|scalp
קִירְקוּף|kirk<u>f|scalping
לְקַרְקֵף|lekark<e>f|to scalp
לְקַרְקֵר|lekark<e>r|to croak, to cackle
קָרִיר|kar<i>r|cool
לְקָרֵר|lekar<e>r|to cool (something)
קַר|k<a>r|cold
לְהִתְקָרֵר|lehitkar<e>r|to cool down; to catch a cold
קוֹר|k<o>r|cold, coldness
לְהִתְקָרֵשׁ|lehitkar<e>sh|to congeal; to coagulate
לְהַקְרִישׁ|lehakr<i>sh|to congeal, to cause to solidify
קֶרֶשׁ|k<e>resh|plank, board
הַקְשָׁבָה|hakshav<a>|attention; listening
לְהַקְשִׁיב|lehaksh<i>v|to listen; to pay attention
קַשּׁוּב|kash<u>v|attentive
לְהַקְשִׁיחַ|lehaksh<i>ach|to harden, to toughen (both transitive and intransitive)
לְקַשֵּׁט|lekash<e>t|to adorn, to decorate
לְהִתְקַשֵּׁט|lehitkash<e>t|to adorn oneself
לִקְשׁוֹט|liksh<o>t|to shoot (with a bow), to aim, to direct (talmudic)
לְהִתְקַשּׁוֹת|lehitkash<o>t|to harden; to have difficulty (doing something)
לְהַקְשׁוֹת|lehaksh<o>t|to harden, to make difficult
קָשֶׁה|kash<e>|difficult, hard
קוֹשִׁי|k<o>shi|difficulty; hardness, solidity
לִקְשׁוֹת|liksh<o>t|to be hard, to be solid, to be difficult
לְקַשְׁקֵשׁ|lekashk<e>sh|to chatter, to gossip, to babble; to scrawl, to scribble (coll.)
לְהִיקָּשֵׁר|lehikash<e>r|to be tied, to be wrapped, to be attached
לְקַשֵּׁר|lekash<e>r|to connect, to join
קֶשֶׁר|k<e>sher|connection, tie, relationship; knot
הֶקְשֵׁר|heksh<e>r|context
תִּקְשׁוֹרֶת|tiksh<o>ret|communication
קָשׁוּר|kash<u>r|linked, connected
לְהִתְקַשֵּׁר|lehitkash<e>r|to contact (עם); to phone, to call (אל)
לִקְשׁוֹר|liksh<o>r|to tie, to connect; to conspire
קִישּׁוּר|kish<u>r|link, hyperlink; ribbon, knot (lit.); connection, liaison
קִישּׁוּר|kish<u>r|link, hyperlink; ribbon, knot (lit.); connection, liaison
לְקוֹשֵׁשׁ|lekosh<e>sh|to gather, to pick (twigs, firewood)
לְקַשֵּׁת|lekash<e>t|to bend, to curve
רֵיאָיוֹן|re'ay<o>n|interview
לִרְאוֹת|lir'<o>t|to see
לְהֵירָאוֹת|lehera'<o>t|to be visible; to appear, to seem
לְהַרְאוֹת|lehar'<o>t|to show, to demonstrate
רָאוּי|ra'<u>y|fitting, appropriate, worthy
נִרְאֶה|nir'<e>|visible
מַרְאָה|mar'<a>|mirror, looking glass
לְהִתְרָאוֹת|lehitra'<o>t|to meet (with someone), to see again
לְרַאְייֵן|leray<e>n|to interview
לְהִתְרַאְייֵן|lehitray<e>n|to be interviewed
בְּרֵאשִׁית|beresh<i>t|creation of the world (biblical)
רֵאשִׁית|resh<i>t|firstly, first
רֵאשִׁית|resh<i>t|beginning, outset
רֹאשׁ|r<o>sh|head (anatomy); head (figurative), chief, leader
רִאשׁוֹן|rish<o>n|first
בְּרֵאשִׁית|beresh<i>t|the very beginning; creation of the world (biblical)
רוֹב|r<o>v|most of, majority
רִיבִּית|rib<i>t|interest (banking)
רַב|r<a>v|vast, great; numerous; multi- (in compound words)
רִיבּוּד|rib<u>d|stratification
לְרַבֵּד|lerab<e>d|to cover (with layers)
תַּרְבּוּת|tarb<u>t|culture
לְהַרְבּוֹת|leharb<o>t|to increase (something), to multiply; to do something frequently
לְהִתְרַבּוֹת|lehitrab<o>t|to multiply, to reproduce (biology)
לִרְבּוֹת|lirb<o>t|to be numerous; to increase, to multiply
הַרְבֵּה|harb<e>|many, much, a lot
רִיבּוּי|rib<u>y|multiplicity, multitude; increase; plural (grammar)
רֶבַע|r<e>va|quarter, fourth part
רָבוּעַ|rav<u>a|square (e. g. metre, etc.)
רְבִיעִי|revi'<i>|fourth
לְרַבֵּעַ|lerab<e>a|to square; to quadruple (mathematics)
רִיבּוּעַ|rib<u>a|square
רוֹבַע|r<o>va|quarter, block, neighbourbood (of a city)
לִרְבּוֹץ|lirb<o>tz|to lie down; to rest upon; to weigh on (literally as well as figuratively)
לְהַרְבִּיץ|leharb<i>tz|to beat, to hit (ל־)
לְהִתְרַבְרֵב|lehitravr<e>v|to boast, to brag
לִרְגּוֹז|lirg<o>z|to become angry, to be annoyed(lit.)
לְהַרְגִּיז|leharg<i>z|to annoy, to irritate
לְהֵירָגֵז|leherag<e>z|to be annoyed, to be angry (lit.)
לְהִתְרַגֵּז|lehitrag<e>z|to become angry
לְרַגֵּל|lerag<e>l|to spy, to shadow, to tail
לְהַרְגִּיל|leharg<i>l|to habituate, to accustom
רִיגּוּל|rig<u>l|espionage
הֶרְגֵּל|herg<e>l|habit
רָגִיל|rag<i>l|usual, regular; used to something (ל־, אל)
רֶגֶל|r<e>gel|leg; foot
תַּרְגִּיל|targ<i>l|exercise; practice
לְהִתְרַגֵּל|lehitrag<e>l|to get used (to something), to become accustomed to
לִרְגּוֹם|lirg<o>m|to stone
מַרְגֵּמָה|margem<a>|mortar (artillery)
לְהַרְגִּיעַ|leharg<i>a|to calm (someone), to quieten
לְהֵירָגֵעַ|leherag<e>a|to calm down, to relax
הַרְגָּעָה|harga'<a>|quietening, calming
רָגוּעַ|rag<u>a|relaxed, calm
רֶגַע|r<e>ga|moment
לְהֵירָגֵשׁ|leherag<e>sh|to be worried
לְהַרְגִּישׁ|leharg<i>sh|to feel, to sense; to feel (good, bad, sick, etc.)
לְרַגֵּשׁ|lerag<e>sh|to excite, to affect (emotionally)
לְהִתְרַגֵּשׁ|lehitrag<e>sh|to be excited
הַרְגָּשָׁה|hargash<a>|feeling; well-being (medical)
הִתְרַגְּשׁוּת|hitragsh<u>t|excitement
רֶגֶשׁ|r<e>gesh|feeling
מַרְגָּשׁ|marg<a>sh|mood, general health (coll.)
רָגִישׁ|rag<i>sh|sensitive
לִרְגּוֹשׁ|lirg<o>sh|to be stormy, to roar (literary)
לְרַדֵּד|lerad<e>d|to flatten (dough, etc.); to make flat
רָדוּד|rad<u>d|shallow, superficial
רָדוּד|rad<u>d|shallow; superficial
לִרְדּוֹת|lird<o>t|to tyrannize, to oppress (ב-)
הֵירָדְמוּת|heradm<u>t|falling asleep
לְהֵירָדֵם|leherad<e>m|to fall asleep, to doze off
לְהַרְדִּים|lehard<i>m|to put to sleep; to anesthetize
תַּרְדֵּמָה|tardem<a>|hibernation; deep sleep
לִרְדּוֹף|lird<o>f|to chase, to pursue
לְהֵירָדֵף|leherad<e>f|to be oppressed, to be persecuted
לְהַרְהִיב|leharh<i>v|to astonish, to excite
לְרַהֵט|lerah<e>t|to furnish
רַהַט|r<a>hat|water trough
רָהִיט|rah<i>t|piece of furniture; (in plural) furniture
לִרְהוֹט|lirh<o>t|to run, to gallop, to race; to speak quickly (literary)
מְרוּוָּח|meruv<a>ch|spacious
לִרְווֹחַ|lirv<o>ach|to be common, to be widespread; to be relieved, to feel more comfortable
לְרַווֵּחַ|lerav<e>ach|to space, to place at intervals
לְהַרְווִיחַ|leharv<i>ach|to benefit, to profit, to gain
מִרְווָח|mirv<a>ch|interval, space
רוּחַ|r<u>ach|wind; spirit
לְהִתְרַווֵּחַ|lehitrav<e>ach|to relax
לִרְווֹת|lirv<o>t|to satisfy one's thirst
לְהַרְווֹת|leharv<o>t|to quench
לְהָרִים|lehar<i>m|to raise, to lift
רָמָה|ram<a>|height, level; hilly region, plateau
לְהִתְרוֹמֵם|lehitrom<e>m|to rise up, to go higher
לְרוֹמֵם|lerom<e>m|to raise, to elevate, to exalt
תְּרוּמָה|trum<a>|donation, contribution
לְהָרִיעַ|lehar<i>a|to applaud, to clap
לָרוּץ|lar<u>tz|to run
לְהִתְרוֹצֵץ|lehitrotz<e>tz|to run around, to scamper
רִיצָה|ritz<a>|race, running
מְרִיצָה|meritz<a>|wheelbarrow
רָץ|r<a>tz|runner, sprinter; bishop (chess)
לְהָרִיץ|lehar<i>tz|to push, to goad, to make someone run; to run (a program)
רַווָּק|rav<a>k|unmarried, bachelor / spinster
לִרְזוֹת|lirz<o>t|to become thinner, to slim down
לְהַרְזוֹת|leharz<o>t|to make slimmer
הַרְזָיָה|harzay<a>|slimming, weight reduction
רָזֶה|raz<e>|slim, thin, skinny
לִרְחוֹב|lirch<o>v|to be wide; to widen, to spread out
לְהַרְחִיב|leharch<i>v|to widen, to expand something
לְהִתְרַחֵב|lehitrach<e>v|to expand, to become wider
רְחָבָה|rechav<a>|plaza, yard, square
הַרְחָבָה|harchav<a>|expansion, widening
רָחָב|rach<a>v|wide, vast
רוֹחַב|r<o>chav|width
רְחוֹב|rech<o>v|street
לְרַחֵם|lerach<e>m|to pity, to have mercy (על)
לְהִתְרַחֵם|lehitrach<e>m|to have mercy (על) (rare)
לְרַחֵף|lerach<e>f|to hover, to float in the air
לִרְחוֹץ|lirch<o>tz|to wash, to clean
לְהֵירָחֵץ|leherach<e>tz|to be washed, to be bathed
רְחִיצָה|rechitz<a>|washing, bathing
תַּרְחִיץ|tarch<i>tz|lotion, wash (cosmetics)
לְהִתְרַחֵץ|lehitrach<e>tz|to wash oneself, to bathe oneself
לְהַרְחִיק|leharch<i>k|to remove, to banish; to move something away
הַרְחָקָה|harchak<a>|removal, distancing
רָחוֹק|rach<o>k|far, distant, remote
מֶרְחָק|merch<a>k|distance
לְהִתְרַחֵק|lehitrach<e>k|to move away, to become farther away
לְרַחְרֵחַ|lerachr<e>ach|to sniff, to smell; to investigate
לִרְחוֹשׁ|lirch<o>sh|to whisper, to utter (lit.); to feel (admiration, respect, etc.); to crawl, to swarm
לְהִתְרַחֵשׁ|lehitrach<e>sh|to happen, to occur
לְהֵירָטֵב|leherat<e>v|to be wet
לְהַרְטִיב|lehart<i>v|to wet
לְהִתְרַטֵּב|lehitrat<e>v|to get wet
רָטוֹב|rat<o>v|wet
לְהַרְטִיט|lehart<i>t|to shake, to cause to tremble
לִרְטוֹט|lirt<o>t|to tremble, to quiver
לְרַטֵּט|lerat<e>t|to tremble, to quiver (literary)
לִרְטוֹן|lirt<o>n|to grumble
לְרַטֵּשׁ|lerat<e>sh|to dismember, to tear to pieces; to retouch (pictures)
לָרִיב|lar<i>v|to argue, to quarrel
מְרִיבָה|meriv<a>|quarrel
לְהָרִיחַ|lehar<i>ach|to smell, to sniff
רֵיחַ|r<e>ach|smell, odour
רִימּוֹן|rim<o>n|pomegranate
רֵיק|r<e>k|empty
לְהָרִיק|lehar<i>k|to empty
רִיק|r<i>k|emptiness, vacuum
לְרוֹקֵן|lerok<e>n|to empty (something)
לְהִתְרוֹקֵן|lehitrok<e>n|to become empty (of a place, of a battery)
לָרִיר|lar<i>r|to drool, to release saliva (literary)
לְרוֹשֵׁשׁ|lerosh<e>sh|to impoverish
לְהִתְרוֹשֵׁשׁ|lehitrosh<e>sh|to become impoverished
לְהִתְרַכֵּב|lehitrak<e>v|to bond, to fuse (chemistry)
תִּרְכּוֹבֶת|tirk<o>vet|compound (chemistry)
לִרְכּוֹב|lirk<o>v|to ride
הִתְרַכְּבוּת|hitrakv<u>t|bonding, fusing (chemistry)
הֶרְכֵּב|herk<e>v|composition, set of ingredients
הַרְכָּבָה|harkav<a>|assembly, process of assembling
מוּרְכָּב|murk<a>v|complex, complicated, compound, composite
מְרוּכָּב|meruk<a>v|complex (number, in mathematics)
רֶכֶב|r<e>chev|vehicle, car
רַכֶּבֶת|rak<e>vet|train
רְכִיב|rech<i>v|component, ingredient
מֶרְכָּבָה|merkav<a>|chariot, carriage; Merkava tank
לְהַרְכִּיב|lehark<i>v|to assemble, to put together; to put on (glasses)
לְרַכֵּז|lerak<e>z|to assemble, to gather something, to concentrate something
לְהִתְרַכֵּז|lehitrak<e>z|to concentrate, to focus on, to think hard
תַּרְכִּיז|tark<i>z|concentrate
מֶרְכָּז|merk<a>z|centre
רַכָּז|rak<a>z|coordinator
לְרַכֵּךְ|lerak<e>ch|to soften
לְהִתְרַכֵּךְ|lehitrak<e>ch|to become soft
רִיכּוּךְ|rik<u>ch|softening; artillery preparation (military)
רַךְ|r<a>ch|soft; immature, weak, young
לְרַכֵל|lerach<e>l|to gossip (coll.)
לִרְכּוֹל|lirk<o>l|to peddle, to trade
לִרְכּוֹן|lirk<o>n|to bend forward
לְהַרְכִּין|lehark<i>n|to bend (something); to bow (lit.)
לִרְכּוֹס|lirk<o>s|to button, to zip
לִרְכּוֹשׁ|lirk<o>sh|to purchase, to acquire
לְהֵירָכֵשׁ|leherach<e>sh|to be acquired, to be purchased
רְכִישָׁה|rechish<a>|purchase, acquisition
רֶכֶשׁ|r<e>chesh|acquisition, purchase, procurement
לְרַמֵּז|leram<e>z|to hint
לִרְמוֹז|lirm<o>z|to hint, to indicate
לְהֵירָמֵז|leheram<e>z|to be hinted, to be implied
רֶמֶז|r<e>mez|hint, clue
רוֹמַח|r<o>mach|pike, lance (weapon)
לְרַמּוֹת|leram<o>t|to deceive
לִרְמוֹת|lirm<o>t|to throw, to hurl (biblical)
מִרְמָה|mirm<a>|deceit, fraud
רַמַּאי|ram<a>y|crook, swindler
לִרְמוֹס|lirm<o>s|to trample, to crush
לְהֵירָמֵס|leheram<e>s|to be trampled, to be crushed
לִרְמוֹשׂ|lirm<o>s|to creep, to crawl
רְנָנָה|renan<a>|singing; joy (lit.)
רִינָּה|rin<a>|joy, gladness (lit.)
לְהִתְרוֹנֵן|lehitron<e>n|to rejoice (lit.)
לְרַנֵּן|leran<e>n|to sing, to rejoice (lit.)
לְרַסֵּן|leras<e>n|to restrain, to control
לְרַסֵּס|leras<e>s|to spray
לְרַסֵּק|leras<e>k|to mash, to pulverize
לְהִתְרַסֵּק|lehitras<e>k|to crash, to be crushed
הִתְרַסְּקוּת|hitrask<u>t|crash, accident
רֵעַ|r<e>a|friend (lit.)
לִרְעוֹב|lir'<o>v|to be hungry, to starve
לְהַרְעִיב|lehar'<i>v|to make starve
רָעָב|ra'<a>v|hunger
רָעֵב|ra'<e>v|hungry
רְעַבְתָּן|re'avt<a>n|glutton
לִרְעוֹד|lir'<o>d|to shiver, to tremble
לְהַרְעִיד|lehar'<i>d|to cause to shake, to shake something
רַעַד|r<a>'ad|trembling, shivering
לִרְעוֹת|lir'<o>t|to guide; to herd
רַעֲיוֹן|ra'ay<o>n|idea
לְהַרְעִיל|lehar'<i>l|to poison
הַרְעָלָה|har'al<a>|poisoning
רַעַל|r<a>'al|poison
רָעִיל|ra'<i>l|poisonous
תַּרְעֵלָה|tar'el<a>|poison (lit.)
לִרְעוֹם|lir'<o>m|to thunder
לְהַרְעִים|lehar'<i>m|to roar, to thunder; to anger someone (lit.)
רַעַם|r<a>'am|thunder
לְהִתְרַעֵם|lehitra'<e>m|to become angry, annoyed (lit.)
לְרַעְנֵן|lera'an<e>n|to refresh, to invigorate
לְהִתְרַעְנֵן|lehitra'an<e>n|to become refreshed
רִיעְנוּן|ri'an<u>n|invigoration, refreshment
לְהָרֵעַ|lehar<e>a|to harm, to do evil to (ל־)
לְהִתְרוֹעֵעַ|lehitro'<e>a|to befriend, to become friendly with (lit.)
רַע|r<a>|bad, evil
לְהַרְעִיף|lehar'<i>f|to heap (gifts, praises)
רַעַף|r<a>'af|roofing tile
לִרְעוֹץ|lir'<o>tz|to defeat, to break (lit.)
לְהֵירָעֵץ|lehera'<e>tz|to be defeated (lit.)
לִרְעוֹשׁ|lir'<o>sh|to make noise
לְהֵירָעֵשׁ|lehera'<e>sh|to be amazed, to be shocked
לְהַרְעִישׁ|lehar'<i>sh|to make noise, to be noisy
רַעַשׁ|r<a>'ash|noise
רוֹפֵא|rof<e>|doctor, physician
לִרְפּוֹא|lirp<o>|to heal (someone) (lit.)
לְהֵירָפֵא|leheraf<e>|to be healed, to recover
לְהִתְרַפֵּא|lehitrap<e>|to recover, to recuperate
מִרְפָּאָה|mirpa'<a>|clinic
רְפוּאָה|refu'<a>|medicine; recovery
תְּרוּפָה|truf<a>|remedy, medicine
לְרַפֵּא|lerap<e>|to heal, to cure someone
לְרַפֵּד|lerap<e>d|to upholster; to pad, to line
לְהִתְרַפֵּט|lehitrap<e>t|to wear out
לְרַפֵּט|lerap<e>t|to wear out (something), to tatter
לִרְפּוֹת|lirp<o>t|to become weak (lit.)
לְרַפּוֹת|lerap<o>t|to loosen, to relax
לְהַרְפּוֹת|leharp<o>t|to release, to drop, to leave alone
רִפְיוֹן|rify<o>n|laxity, looseness
לְהִתְרַפֵּס|lehitrap<e>s|to flatter, to be ingratiating
מִרְפֶּסֶת|mirp<e>set|balcony, veranda
לְהִתְרוֹפֵף|lehitrof<e>f|to weaken, to become weak
מַרְפֵּק|marp<e>k|elbow
לְהִתְרַפֵּק|lehitrap<e>k|to hug, to cling to; to remember fondly (על)
לְרַפְרֵף|lerafr<e>f|to hover, to flutter; to scan, to glance at
הַרְצָאָה|hartza'<a>|lecture
לְרַצֵּד|leratz<e>d|to flicker, to twinkle; to dart (eyes)
רֶצַח|r<e>tzach|murder
לִרְצוֹחַ|lirtz<o>ach|to murder
לְהֵירָצֵחַ|leheratz<e>ach|to be murdered
לִרְצוֹת|lirtz<o>t|to want
לְהִתְרַצּוֹת|lehitratz<o>t|to reconcile, to accede
לְהַרְצוֹת|lehartz<o>t|to lecture
