av|אָב
lakuy|לָקוּי
likuy|לִיקּוּי
lelakek|לְלַקֵּק
lishka|לִשְׁכָּה
halshana|הַלְשָׁנָה
lashon|לָשׁוֹן
balshan|בַּלְשָׁן
lehalshin|לְהַלְשִׁין
me'od|מְאוֹד
me'az|מֵאָז
me'ayin|מְאַייִן
lema'en|לְמָאֵן
lehima'es|לְהִימָּאֵס
leham'is|לְהַמְאִיס
lim'os|לִמְאוֹס
me'asher|מֵאֲשֶׁר
mabul|מַבּוּל
megama|מְגַמָּה
lemagen|לְמַגֵּן
lemagnet|לְמַגְנֵט
lehitmagnet|לְהִתְמַגְנֵט
lemager|לְמַגֵּר
lamod|לָמוֹד
lehimaded|לְהִימָּדֵד
mida|מִידָּה
medida|מְדִידָה
madad|מַדָּד
lehitmoded|לְהִתְמוֹדֵד
madua|מַדּוּעַ
midur|מִידּוּר
midron|מִדְרוֹן
midroni|מִדְרוֹנִי
ma|מַה
limhol|לִמְהוֹל
lehimahel|לְהִימָּהֵל
lehitmahmeah|לְהִתְמַהְמֵהַּ
lemaher|לְמַהֵר
mahir|מָהִיר
lehimog|לְהִימּוֹג
lehitmogeg|לְהִתְמוֹגֵג
moderni|מוֹדֶרְנִי
muze'on|מוּזֵיאוֹן
muzika|מוּזִיקָה
lemotet|לְמוֹטֵט
lehitmotet|לְהִתְמוֹטֵט
lamut|לָמוּט
lehimot|לְהִימּוֹט
lamul|לָמוּל
lehimol|לְהִימּוֹל
mul|מוּל
muslemi|מוּסְלְמִי
lehamir|לְהָמִיר
tmura|תְּמוּרָה
lamush|לָמוּשׁ
lamut|לָמוּת
lehamit|לְהָמִית
mavet|מָווֶת
limzog|לִמְזוֹג
lehitmazeg|לְהִתְמַזֵּג
mezeg|מֶזֶג
mazgan|מַזְגָן
lemazeg|לְמַזֵּג
lemazeg|לְמַזֵּג
mazal|מַזָּל
lehitmazel|לְהִתְמַזֵּל
lehitmazmez|לְהִתְמַזְמֵז
lemazmez|לְמַזְמֵז
lemaz'er|לְמַזְעֵר
limcho|לִמְחוֹא
mecha'a|מְחָאָה
lehamchiz|לְהַמְחִיז
lemachzer|לְמַחְזֵר
moach|מוֹחַ
limchot|לִמְחוֹט
mimchata|מִמְחָטָה
limchot|לִמְחוֹת
lehimachot|לְהִימָּחוֹת
lehitmachot|לְהִתְמַחוֹת
lemachot|לְמַחוֹת
mumche|מוּמְחֶה
limchol|לִמְחוֹל
mechila|מְחִילָה
limchotz|לִמְחוֹץ
lehimachetz|לְהִימָּחֵץ
limchok|לִמְחוֹק
lehimachek|לְהִימָּחֵק
mechika|מְחִיקָה
machik|מָחִיק
machar|מָחָר
mechir|מְחִיר
mochoratayim|מָחֳרָתַייִם
lehamchish|לְהַמְחִישׁ
lemachshev|לְמַחְשֵׁב
lehamtir|לְהַמְטִיר
mamtera|מַמְטֵרָה
matar|מָטָר
mitriya|מִטְרִייָּה
mi|מִי
mayim|מַיִם
meiman|מֵימָן
miyun|מִיּוּן
min|מִין
tmuna|תְּמוּנָה
min|מִין
lemayen|לְמַייֵּן
mishehu|מִישֶׁהוּ
mishehi|מִישֶׁהִי
limkor|לִמְכּוֹר
lehitmaker|לְהִתְמַכֵּר
lehimacher|לְהִימָּכֵר
mechira|מְכִירָה
machur|מָכוּר
hitmakrut|הִתְמַכְּרוּת
lehitmale|לְהִתְמַלֵּא
limlot|לִמְלֹאת
male|מָלֵא
lemale|לְמַלֵּא
melacha|מְלָאכָה
milga|מִלְגָּה
melach|מֶלַח
maluach|מָלוּחַ
lehamliach|לְהַמְלִיחַ
lemalet|לְמַלֵּט
lehimalet|לְהִימָּלֵט
lehamlit|לְהַמְלִיט
milut|מִילּוּט
melita|מְלִיטָה
melet|מֶלֶט
melech|מֶלֶךְ
mamlacha|מַמְלָכָה
lehamlich|לְהַמְלִיךְ
mamlachti|מַמְלַכְתִּי
malka|מַלְכָּה
malchut|מַלְכוּת
mamlachtiyut|מַמְלַכְתִּיּוּת
limloch|לִמְלוֹךְ
lemalked|לְמַלְכֵּד
lemalel|לְמַלֵּל
melel|מֶלֶל
mila|מִילָּה
milon|מִילּוֹן
lemalmel|לְמַלְמֵל
melafefon|מְלָפְפוֹן
lehamlitz|לְהַמְלִיץ
hamlatza|הַמְלָצָה
meltzar|מֶלְצַר
limlok|לִמְלוֹק
lemamen|לְמַמֵּן
mimun|מִימּוּן
lemamesh|לְמַמֵּשׁ
lehitmamesh|לְהִתְמַמֵּשׁ
mimush|מִימּוּשׁ
mamash|מַמָּשׁ
mamash|מַמָּשׁ
min|מִן
mangina|מַנְגִּינָה
mincha|מִנְחָה
limnot|לִמְנוֹת
lehimanot|לְהִימָּנוֹת
lemanot|לְמַנּוֹת
menaya|מְנָיָה
manuy|מָנוּי
minuy|מִינּוּי
mana|מָנָה
lehitmanot|לְהִתְמַנּוֹת
lemanen|לְמַנֵּן
limnoa|לִמְנוֹעַ
lehimanea|לְהִימָּנֵעַ
meni'a|מְנִיעָה
lemanef|לְמַנֵּף
lemasger|לְמַסְגֵּר
lemased|לְמַסֵּד
mimsad|מִמְסָד
lehitmased|לְהִתְמַסֵּד
mischur|מִיסְחוּר
lehitmascher|לְהִתְמַסְחֵר
lemascher|לְמַסְחֵר
lehitmastel|לְהִתְמַסְטֵל
lemasot|לְמַסּוֹת
misken|מִסְכֵּן
lemasmer|לְמַסְמֵר
lehitmoses|לְהִתְמוֹסֵס
mas|מַס
lehamis|לְהָמִיס
tmisa|תְּמִיסָּה
lehimos|לְהִימּוֹס
lemasper|לְמַסְפֵּר
limsor|לִמְסוֹר
lehimaser|לְהִימָּסֵר
lehitmaser|לְהִתְמַסֵּר
meser|מֶסֶר
lemasrer|לְמַסְרֵר
lim'od|לִמְעוֹד
leham'id|לְהַמְעִיד
lema'et|לְמַעֵט
leham'it|לְהַמְעִיט
lehitma'et|לְהִתְמַעֵט
ma'at|מָעַט
me'at|מְעַט
mu'at|מוּעָט
lim'och|לִמְעוֹךְ
lehima'ech|לְהִימָּעֵךְ
me'il|מְעִיל
lim'ol|לִמְעוֹל
me'al|מֵעַל
lema'en|לְמַעֵן
ma'an|מַעַן
lim'on|לִמְעוֹן
me'ata|מֵעַתָּה
lemapot|לְמַפּוֹת
mipnei|מִפְּנֵי
mofet|מוֹפֵת
limtzo|לִמְצוֹא
lehimatze|לְהִימָּצֵא
lehamtzi|לְהַמְצִיא
hitmatz'ut|הִתְמַצְּאוּת
himatz'ut|הִימָּצְאוּת
hamtza'a|הַמְצָאָה
metzi'ut|מְצִיאוּת
lehitmatze|לְהִתְמַצֵּא
metzi'a|מְצִיאָה
mitzuv|מִיצּוּב
lematzev|לְמַצֵּב
metzach|מֵצַח
lematzot|לְמַצּוֹת
limtzot|לִמְצוֹת
matzuy|מָצוּי
tamtzit|תַּמְצִית
lematzmetz|לְמַצְמֵץ
emtza'ut|אֶמְצָעוּת
emtza|אֶמְצַע
limtzotz|לִמְצוֹץ
lehimatzetz|לְהִימָּצֵץ
lehitmatzek|לְהִתְמַצֵּק
mitzrayim|מִצְרַייִם
lemaked|לְמַקֵּד
lehitmaked|לְהִתְמַקֵּד
lehitmakeach|לְהִתְמַקֵּחַ
miktoren|מִקְטוֹרֶן
lemakem|לְמַקֵּם
lehitmakem|לְהִתְמַקֵּם
lemakef|לְמַקֵּף
lehitmaktzea|לְהִתְמַקְצֵעַ
lehimek|לְהִימֵּק
lemakesh|לְמַקֵּשׁ
mar|מַר
lehamri|לְהַמְרִיא
hamra'a|הַמְרָאָה
limrod|לִמְרוֹד
lehitmared|לְהִתְמָרֵד
mered|מֶרֶד
mardan|מַרְדָן
limroach|לִמְרוֹחַ
lehimareach|לְהִימָּרֵחַ
limrot|לִמְרוֹט
lehamrot|לְהַמְרוֹת
lemarkez|לְמַרְכֵּז
lemarmer|לְמַרְמֵר
lehitmarmer|לְהִתְמַרְמֵר
lemarpek|לְמַרְפֵּק
lehamritz|לְהַמְרִיץ
hamratza|הַמְרָצָה
meretz|מֶרֶץ
tamritz|תַּמְרִיץ
tamruk|תַּמְרוּק
marak|מָרָק
lemarek|לְמָרֵק
marir|מָרִיר
lehamer|לְהָמֵר
lemarer|לְמָרֵר
mar|מַר
masa|מַשָּׂא
masa'it|מַשָּׂאִית
lehamsig|לְהַמְשִׂיג
mashehu|מַשֶּׁהוּ
limshoach|לִמְשׁוֹחַ
mishcha|מִשְׁחָה
limshot|לִמְשׁוֹת
lehimashot|לְהִימָּשׁוֹת
meshicha|מְשִׁיכָה
limshoch|לִמְשׁוֹךְ
lehimashech|לְהִימָּשֵׁךְ
lehitmashech|לְהִתְמַשֵּׁךְ
lehamshich|לְהַמְשִׁיךְ
hemshech|הֶמְשֵׁךְ
meshech|מֶשֶׁךְ
lemashken|לְמַשְׁכֵּן
limshol|לִמְשׁוֹל
lehamshil|לְהַמְשִׁיל
lehimashel|לְהִימָּשֵׁל
mashal|מָשָׁל
memshelet|מֶמְשֶׁלֶת
memshalti|מֶמְשַׁלְתִּי
lemashmea|לְמַשְׁמֵעַ
lemashmesh|לְמַשְׁמֵשׁ
meshek|מֶשֶׁק
mishkefeishemesh|מִשְׁקְפֵי שֵׁמֶשׁ
lemashesh|לְמַשֵּׁשׁ
lemateg|לְמַתֵּג
meteg|מֶתֶג
limtoach|לִמְתּוֹחַ
lehimateach|לְהִימָּתֵחַ
metichut|מְתִיכוּת
metach|מֶתַח
metach|מֶתַח
matuach|מָתוּחַ
matiach|מָתִיחַ
lehitmateach|לְהִתְמַתֵּחַ
mitachat|מִתַּחַת
matay|מָתַי
matematika|מָתֶמָטִיקָה
lematen|לְמַתֵּן
lehamtin|לְהַמְתִּין
lehamtik|לְהַמְתִּיק
mamtak|מַמְתָּק
matok|מָתוֹק
na|נָא
lin'ot|לִנְאוֹת
lin'om|לִנְאוֹם
ne'um|נְאוּם
lena'ef|לְנָאֵף
lin'of|לִנְאוֹף
lena'etz|לְנָאֵץ
lin'ok|לִנְאוֹק
ne'aka|נְאָקָה
lenabe|לְנַבֵּא
lehitnabe|לְהִתְנַבֵּא
lehinave|לְהִינָּבֵא
nevu'a|נְבוּאָה
navi|נָבִיא
linboach|לִנְבּוֹחַ
navchan|נַבְחָן
lehanbit|לְהַנְבִּיט
lehabit|לְהַבִּיט
mabat|מַבָּט
linbot|לִנְבּוֹט
linbol|לִנְבּוֹל
naval|נָבָל
linboa|לִנְבּוֹעַ
lehabia|לְהַבִּיעַ
haba'a|הַבָּעָה
linbor|לִנְבּוֹר
lenagev|לְנַגֵּב
lehitnagev|לְהִתְנַגֵּב
magevet|מַגֶּבֶת
magev|מַגֵּב
magvon|מַגְּבוֹן
lehangid|לְהַנְגִּיד
nagad|נַגָּד
lehitnaged|לְהִתְנַגֵּד
hitnagdut|הִתְנַגְּדוּת
menugad|מְנוּגָּד
agada|אַגָּדָה
neged|נֶגֶד
hagada|הַגָּדָה
lehagid|לְהַגִּיד
lingod|לִנְגּוֹד
lingoah|לִנְגּוֹהַּ
lehagiah|לְהַגִּיהַּ
nogah|נוֹגַהּ
lingoach|לִנְגּוֹחַ
nagach|נַגָּח
lenagen|לְנַגֵּן
nigun|נִיגּוּן
lehitnagen|לְהִתְנַגֵּן
lingos|לִנְגּוֹס
maga|מַגָּע
lehagia|לְהַגִּיעַ
laga'at|לָגַעַת
lenagea|לְנַגֵּעַ
nega|נֶגַע
lehinagef|לְהִינָּגֵף
lehinager|לְהִינָּגֵר
nagar|נַגָּר
lenager|לְנַגֵּר
lageshet|לָגֶשֶׁת
lehagish|לְהַגִּישׁ
lehangish|לְהַנְגִּישׁ
hitnagshut|הִתְנַגְּשׁוּת
nagish|נָגִישׁ
lehitnagesh|לְהִתְנַגֵּשׁ
lenadev|לְנַדֵּב
lehitnadev|לְהִתְנַדֵּב
nedava|נְדָבָה
hitnadvut|הִתְנַדְּבוּת
nadiv|נָדִיב
nedivut|נְדִיבוּת
lindov|לִנְדּוֹב
lindod|לִנְדּוֹד
hadacha|הַדָּחָה
lehadiach|לְהַדִּיחַ
lenadot|לְנַדּוֹת
lenadned|לְנַדְנֵד
lehitnadned|לְהִתְנַדְנֵד
lehitnadef|לְהִתְנַדֵּף
madaf|מַדָּף
lidor|לִידּוֹר
neder|נֶדֶר
nadir|נָדִיר
lehadir|לְהַדִּיר
lehitnaheg|לְהִתְנַהֵג
linhog|לִנְהוֹג
lehanhig|לְהַנְהִיג
nehag|נֶהָג
hitnahagut|הִתְנַהֲגוּת
nehiga|נְהִיגָה
minhag|מִנְהָג
lenahel|לְנַהֵל
minhal|מִנְהָל
menahel|מְנַהֵל
nohal|נוֹהַל
lehitnahel|לְהִתְנַהֵל
linhom|לִנְהוֹם
linhok|לִנְהוֹק
linhor|לִנְהוֹר
nahar|נָהָר
minhara|מִנְהָרָה
lehani|לְהָנִיא
lehaniv|לְהָנִיב
lanuv|לָנוּב
lanud|לָנוּד
lehitnoded|לְהִתְנוֹדֵד
lehanid|לְהָנִיד
tnuda|תְּנוּדָה
lanuach|לָנוּחַ
lehaniach|לְהָנִיחַ
lehaniach|לְהַנִּיחַ
tnucha|תְּנוּחָה
menucha|מְנוּחָה
nachat|נַחַת
noach|נוֹחַ
nochut|נוֹחוּת
lenavet|לְנַווֵּט
navat|נַווָּט
nave|נָאווֶה
linvot|לִנְווֹת
lanum|לָנוּם
lehitnaven|לְהִתְנַווֵּן
lenaven|לְנַווֵּן
menuvan|מְנוּוָּן
lehanis|לְהָנִיס
lanus|לָנוּס
manos|מָנוֹס
lanua|לָנוּעַ
lehania|לְהָנִיעַ
lehitno'ea|לְהִתְנוֹעֵעַ
tnu'a|תְּנוּעָה
manoa|מָנוֹעַ
lenofef|לְנוֹפֵף
lehitnofef|לְהִתְנוֹפֵף
lehanif|לְהָנִיף
manof|מָנוֹף
menifa|מְנִיפָה
nof|נוֹף
tanur|תַּנּוּר
nur|נוּר
menora|מְנוֹרָה
ner|נֵר
nura|נוּרָה
lehazot|לְהַזּוֹת
lehanzil|לְהַנְזִיל
linzol|לִנְזוֹל
lehazil|לְהַזִּיל
nazelet|נַזֶּלֶת
lehinazef|לְהִינָּזֵף
linzof|לִנְזוֹף
lehazik|לְהַזִּיק
lehinazek|לְהִינָּזֵק
lehitnazer|לְהִתְנַזֵּר
lehanchot|לְהַנְחוֹת
hanchaya|הַנְחָיָה
linchol|לִנְחוֹל
lehanchil|לְהַנְחִיל
lehitnachel|לְהִתְנַחֵל
nachala|נַחֲלָה
lenachem|לְנַחֵם
lehinachem|לְהִינָּחֵם
nechama|נֶחָמָה
lehitnachem|לְהִתְנַחֵם
lehitnachmed|לְהִתְנַחְמֵד
nachutz|נָחוּץ
linchor|לִנְחוֹר
nechir|נְחִיר
lenachesh|לְנַחֵשׁ
nachash|נָחָשׁ
nechoshet|נְחוֹשֶׁת
linchot|לִנְחוֹת
nechat|נֶחָת
lehanchit|לְהַנְחִית
lintot|לִנְטוֹת
lehatot|לְהַטּוֹת
lehinatot|לְהִינָּטוֹת
lemata|לְמַטָּה
mita|מִיטָּה
matala|מַטָּלָה
litol|לִיטּוֹל
lehinatea|לְהִינָּטֵעַ
lata'at|לָטַעַת
lintof|לִנְטוֹף
lehatif|לְהַטִּיף
lintor|לִנְטוֹר
matara|מַטָּרָה
lenater|לְנַטֵּר
nitur|נִיטּוּר
lenatrel|לְנַטְרֵל
lintosh|לִנְטוֹשׁ
lehinatesh|לְהִינָּטֵשׁ
lehinatesh|לְהִינָּטֵשׁ
natush|נָטוּשׁ
nayad|נַייָּד
nayad|נַייָּד
nayedet|נַייֶּדֶת
lehitnayed|לְהִתְנַייֵּד
nichoach|נִיחוֹחַ
neyar|נְייָר
nin|נִין
nina|נִינָה
neched|נֶכֶד
nechda|נֶכְדָּה
linkoach|לִנְכּוֹחַ
lehanchiach|לְהַנְכִיחַ
nocheach|נוֹכֵחַ
lehakot|לְהַכּוֹת
lenakot|לְנַכּוֹת
nache|נָכֶה
nachut|נָכוּת
maka|מַכָּה
nikuy|נִיכּוּי
lehitnakel|לְהִתְנַכֵּל
nochel|נוֹכֵל
hakara|הַכָּרָה
lehinacher|לְהִינָּכֵר
lenaker|לְנַכֵּר
nar|נַר
lehakir|לְהַכִּיר
lehitnaker|לְהִתְנַכֵּר
lehakish|לְהַכִּישׁ
makosh|מַכּוֹשׁ
lehalin|לְהַלִּין
lehanmich|לְהַנְמִיךְ
hanmacha|הַנְמָכָה
namuch|נָמוּךְ
namel|נָמֵל
lenamnem|לְנַמְנֵם
lehitnamnem|לְהִתְנַמְנֵם
menumas|מְנוּמָּס
lenamek|לְנַמֵּק
nimuk|נִימּוּק
namer|נָמֵר
nesiga|נְסִיגָה
lehasig|לְהַסִּיג
lehasiach|לְהַסִּיחַ
nuscha|נוּסְחָה
lenaseach|לְנַסֵּחַ
lenasot|לְנַסּוֹת
nisayon|נִיסָּיוֹן
nisuy|נִיסּוּי
lehitnasot|לְהִתְנַסּוֹת
nesicha|נְסִיכָה
nasich|נָסִיךְ
linsoch|לִנְסוֹךְ
masecha|מַסֵּכָה
nes|נֵס
lehitnoses|לְהִתְנוֹסֵס
nesi'a|נְסִיעָה
masa|מַסָּע
masoa|מַסּוֹעַ
linsoa|לִנְסוֹעַ
lehasia|לְהַסִּיעַ
lehasik|לְהַסִּיק
lehasik|לְהַסִּיק
linsok|לִנְסוֹק
masok|מַסּוֹק
maskana|מַסְּקָנָה
lenaser|לְנַסֵּר
nesoret|נְסוֹרֶת
masor|מַסּוֹר
linsor|לִנְסוֹר
lin'ol|לִנְעוֹל
lin'ol|לִנְעוֹל
tin'olet|תִּנְעוֹלֶת
lehan'il|לְהַנְעִיל
na'al|נַעַל
ne'ila|נְעִילָה
lehina'el|לְהִינָּעֵל
man'ul|מַנְעוּל
lin'om|לִנְעוֹם
lehan'im|לְהַנְעִים
na'im|נָעִים
ne'ima|נְעִימָה
lena'anea|לְנַעְנֵעַ
lin'otz|לִנְעוֹץ
na'utz|נָעוּץ
ne'urim|נְעוּרִים
lena'er|לְנַעֵר
lehitna'er|לְהִתְנַעֵר
lehina'er|לְהִינָּעֵר
lin'or|לִנְעוֹר
na'ar|נַעַר
na'ara|נַעֲרָה
linpoach|לִנְפּוֹחַ
lenapeach|לְנַפֵּחַ
lehitnapeach|לְהִתְנַפֵּחַ
napach|נַפָּח
tapuach|תַּפּוּחַ
lenapot|לְנַפּוֹת
lehapil|לְהַפִּיל
lipol|לִיפּוֹל
hapala|הַפָּלָה
lehitnapel|לְהִתְנַפֵּל
lenafnef|לְנַפְנֵף
lenapetz|לְנַפֵּץ
lehitnapetz|לְהִתְנַפֵּץ
niputz|נִיפּוּץ
napatz|נַפָּץ
lehanpik|לְהַנְפִּיק
lehapik|לְהַפִּיק
lehanpish|לְהַנְפִּישׁ
nefesh|נֶפֶשׁ
linposh|לִנְפּוֹשׁ
netziv|נְצִיב
natzig|נָצִיג
netzigut|נְצִיגוּת
lenatzeach|לְנַצֵּחַ
lehitnatzeach|לְהִתְנַצֵּחַ
lehantziach|לְהַנְצִיחַ
hantzacha|הַנְצָחָה
nitzuach|נִיצּוּחַ
nitzachon|נִיצָּחוֹן
menatzeach|מְנַצֵּחַ
hatzala|הַצָּלָה
lehatzil|לְהַצִּיל
lehinatzel|לְהִינָּצֵל
lenatzel|לְנַצֵּל
lehitnatzel|לְהִתְנַצֵּל
nitzul|נִיצּוּל
natzlan|נַצְלָן
nitzolet|נִיצּוֹלֶת
lenatznetz|לְנַצְנֵץ
lehitnotzetz|לְהִתְנוֹצֵץ
lehanetz|לְהָנֵץ
lintzotz|לִנְצוֹץ
lehanetz|לְהָנֵץ
nitzan|נִיצָּן
nitzotz|נִיצוֹץ
lehitnatzer|לְהִתְנַצֵּר
hitnatzrut|הִתְנַצְּרוּת
notzri|נוֹצְרִי
natzrut|נַצְרוּת
lintzor|לִנְצוֹר
linkov|לִנְקוֹב
nekeva|נְקֵבָה
nikud|נִיקּוּד
nekuda|נְקוּדָּה
lenaked|לְנַקֵּד
lehitnakez|לְהִתְנַקֵּז
lenakez|לְנַקֵּז
lehinaket|לְהִינָּקֵט
linkot|לִנְקוֹט
lenakot|לְנַקּוֹת
nikuy|נִיקּוּי
nikayon|נִיקָּיוֹן
lehitnakot|לְהִתְנַקּוֹת
naki|נָקִי
makel|מַקֵּל
linkom|לִנְקוֹם
nekama|נְקָמָה
lehitnakem|לְהִתְנַקֵּם
linkoa|לִנְקוֹעַ
lehakif|לְהַקִּיף
makaf|מַקָּף
linkof|לִנְקוֹף
makor|מַקּוֹר
lenaker|לְנַקֵּר
nakar|נַקָּר
linkosh|לִנְקוֹשׁ
lehitnakesh|לְהִתְנַקֵּשׁ
lehakish|לְהַקִּישׁ
makash|מַקָּשׁ
nasuy|נָשׂוּי
lehitnase|לְהִתְנַשֵּׂא
laset|לָשֵׂאת
lehinase|לְהִינָּשֵׂא
lehasi|לְהַשִּׂיא
nasi|נָשִׂיא
si|שִׂיא
tsu'a|תְּשׂוּאָה
musa|מוּשָּׂא
nose|נוֹשֵׂא
lenashev|לְנַשֵּׁב
linshov|לִנְשׁוֹב
lehasig|לְהַשִּׂיג
musag|מוּשָּׂג
heseg|הֶישֵּׂג
lenashech|לְנַשֵּׁךְ
linshoch|לִנְשׁוֹךְ
lehinashech|לְהִינָּשֵׁךְ
lenashel|לְנַשֵּׁל
linshol|לִנְשׁוֹל
lehashil|לְהַשִּׁיל
linshom|לִנְשׁוֹם
lehitnashem|לְהִתְנַשֵּׁם
neshama|נְשָׁמָה
lehanshim|לְהַנְשִׁים
hanshama|הַנְשָׁמָה
lenashnesh|לְנַשְׁנֵשׁ
linshof|לִנְשׁוֹף
lehitnashef|לְהִתְנַשֵּׁף
neshef|נֶשֶׁף
lenashef|לְנַשֵּׁף
yanshuf|יַנְשׁוּף
lenashek|לְנַשֵּׁק
lehashik|לְהַשִּׁיק
lehitnashek|לְהִתְנַשֵּׁק
mashik|מַשִּׁיק
neshika|נְשִׁיקָה
neshek|נֵשֶׁק
linshok|לִנְשׁוֹק
linshor|לִנְשׁוֹר
lehanshir|לְהַנְשִׁיר
nesher|נֶשֶׁר
lehashir|לְהַשִּׁיר
lenatev|לְנַתֵּב
nativ|נָתִיב
lehatiz|לְהַתִּיז
lehinatez|לְהִינָּתֵז
lenateach|לְנַתֵּחַ
nituach|נִיתּוּחַ
matechet|מַתֶּכֶת
lehatich|לְהַתִּיךְ
latet|לָתֵת
lehinaten|לְהִינָּתֵן
natun|נָתוּן
netunim|נְתוּנִים
matana|מַתָּנָה
lenatetz|לְנַתֵּץ
lehatik|לְהַתִּיק
lehinatek|לְהִינָּתֵק
hinatkut|הִינָּתְקוּת
lehitnatek|לְהִתְנַתֵּק
lenatek|לְנַתֵּק
mutar|מוּתָּר
lenater|לְנַתֵּר
lehatir|לְהַתִּיר
lehatish|לְהַתִּישׁ
hatasha|הַתָּשָׁה
lehista'ev|לְהִסְתָּאֵב
lis'on|לִסְאוֹן
saba|סַבָּא
lehistovev|לְהִסְתּוֹבֵב
lehisov|לְהִיסּוֹב
lesovev|לְסוֹבֵב
lasov|לָסוֹב
lesabev|לְסַבֵּב
sevev|סֵבֶב
sviva|סְבִיבָה
mesiba|מְסִיבָּה
siba|סִיבָּה
lehasev|לְהָסֵב
sabon|סַבּוֹן
lesabech|לְסַבֵּךְ
tisbochet|תִּסְבּוֹכֶת
savuch|סָבוּךְ
lehistabech|לְהִסְתַּבֵּךְ
lisbol|לִסְבּוֹל
sevel|סֵבֶל
sabal|סַבָּל
savlan|סַבְלָן
savlanut|סַבְלָנוּת
lesaben|לְסַבֵּן
lehistaben|לְהִסְתַּבֵּן
lesavsed|לְסַבְסֵד
savur|סָבוּר
lehasbir|לְהַסְבִּיר
svara|סְבָרָה
hesber|הֶסְבֵּר
hasbara|הַסְבָּרָה
histabrut|הִסְתַּבְּרוּת
lisbor|לִסְבּוֹר
lehistaber|לְהִסְתַּבֵּר
savta|סָבְתָא
misgad|מִסְגָּד
lisgod|לִסְגּוֹד
lesagel|לְסַגֵּל
histaglut|הִסְתַּגְּלוּת
mesugal|מְסוּגָּל
sagol|סָגוֹל
lehistagel|לְהִסְתַּגֵּל
sgula|סְגוּלָּה
signon|סִגְנוֹן
lesagnen|לְסַגְנֵן
signun|סִיגְנוּן
lesagseg|לְסַגְסֵג
lehistagef|לְהִסְתַּגֵּף
lesagef|לְסַגֵּף
hasgara|הַסְגָּרָה
lisgor|לִסְגּוֹר
lehisager|לְהִיסָּגֵר
lehasgir|לְהַסְגִּיר
sgira|סְגִירָה
misgeret|מִסְגֶּרֶת
masger|מַסְגֵּר
sagur|סָגוּר
lehistager|לְהִסְתַּגֵּר
sadna|סַדְנָה
sadan|סַדָּן
lehisadek|לְהִיסָּדֵק
lesadek|לְסַדֵּק
sedek|סֶדֶק
lisdok|לִסְדּוֹק
misderon|מִסְדְּרוֹן
lesader|לְסַדֵּר
lehasdir|לְהַסְדִּיר
seder|סֵדֶר
sidra|סִדְרָה
sadar|סַדָּר
sadran|סַדְרָן
sdar|סְדָר
siduri|סִידּוּרִי
lehistader|לְהִסְתַּדֵּר
sidur|סִידּוּר
sahar|סַהַר
soher|סוֹהֵר
sohar|סוֹהַר
saharon|סַהֲרוֹן
laseget|לָסֶגֶת
lesaveg|לְסַווֵּג
sug|סוּג
sod|סוֹד
lehistoded|לְהִסְתּוֹדֵד
lehasvot|לְהַסְווֹת
sus|סוּס
susa|סוּסָה
sof|סוֹף
sufa|סוּפָה
lasur|לָסוּר
lehasit|לְהָסִית
lischov|לִסְחוֹב
lehisachev|לְהִיסָּחֵב
lischot|לִסְחוֹט
lehisachet|לְהִיסָּחֵט
mascheta|מַסְחֵטָה
lischof|לִסְחוֹף
lehisachef|לְהִיסָּחֵף
schofet|סְחוֹפֶת
lischor|לִסְחוֹר
mischar|מִסְחָר
schora|סְחוֹרָה
lesachrer|לְסַחְרֵר
lehistachrer|לְהִסְתַּחְרֵר
sichrur|סִיחְרוּר
listot|לִסְטוֹת
stira|סְטִירָה
listor|לִסְטוֹר
lehistayeg|לְהִסְתַּייֵּג
lesayeg|לְסַייֵּג
histaygut|הִסְתַּייְּגוּת
lesayed|לְסַייֵּד
lehasiach|לְהָסִיחַ
lasiach|לָסִיחַ
lehasit|לְהָסִיט
lehistayem|לְהִסְתַּייֵּם
siyum|סִיּוּם
siyomet|סִיּוֹמֶת
lesayem|לְסַייֵּם
sis|סִיס
lesayea|לְסַייֵּעַ
lehistayea|לְהִסְתַּייֵּעַ
say'an|סַייְעָן
siyua|סִיּוּעַ
lehasir|לְהָסִיר
lesayer|לְסַייֵּר
sayeret|סַייֶּרֶת
siyur|סִיּוּר
sach|סָךְ
liskoch|לִסְכּוֹךְ
lesochech|לְסוֹכֵךְ
lesakech|לְסַכֵּךְ
masach|מָסַךְ
musach|מוּסָךְ
lesakel|לְסַכֵּל
sikul|סִיכּוּל
lehistakel|לְהִסְתַּכֵּל
heskem|הֶסְכֵּם
lesakem|לְסַכֵּם
lehaskim|לְהַסְכִּים
sikum|סִיכּוּם
schum|סְכוּם
liskom|לִסְכּוֹם
lehistakem|לְהִסְתַּכֵּם
mesukan|מְסוּכָּן
lesaken|לְסַכֵּן
sikun|סִיכּוּן
sakana|סַכָּנָה
sochen|סוֹכֵן
sochnut|סוֹכְנוּת
lehaskin|לְהַסְכִּין
lehistaken|לְהִסְתַּכֵּן
sakin|סַכִּין
sichsuch|סִיכְסוּךְ
lehistachsech|לְהִסְתַּכְסֵךְ
lesachsech|לְסַכְסֵךְ
liskor|לִסְכּוֹר
secher|סֶכֶר
lislod|לִסְלוֹד
salon|סָלוֹן
lisloach|לִסְלוֹחַ
lehisaleach|לְהִיסָּלֵחַ
slicha|סְלִיחָה
solela|סוֹלְלָה
